"id","name","units","dri"
"1008","<strong>CALORIES</strong>","kcal",2500
"","","",0
"1005","<strong>CARBOHYDRATES</strong>","g",300
"1079","Dietary Fiber","g",35
"2000","Sugar","g",0
"1003","<strong>PROTEIN</strong>","g",100
"1004","<strong>TOTAL FAT</strong>","g",80
"1258","Saturated Fat","g",30
"1292","Monounsaturated Fat","g",0
"1293","Polyunsaturated Fat","g",0
"1257","Trans Fat","g",0
"1404","Omega-3 (ALA)","g",0
"1278","Omega-3 (EPA)","g",0
"1280","Omega-3 (DHA)","g",0
"1051","<strong>WATER</strong>","",0
"","","",0
"","<strong>VITAMINS</strong>","",0
"1106","Vitamin A","ug",900
"1162","Vitamin C","ug",90
"1114","Vitamin D","ug",15
"1175","Vitamin B-6","mg",1.3
"1248","Vitamin E","mg",15
"1185","Vitamin K","ug",120
"1165","Thiamin","mg",1.2
"1178","Vitamin B-12","ug",2.4
"1166","Riboflavin","mg",1.3
"1177","Folate","ug",400
"1167","Niacin","mg",16
"1180","Choline","mg",550
"1170","Pantothenic Acid","mg",5
"1176","Biotin","ug",30
"","","",0
"","<strong>MINERALS</strong>","",0
"1087","Calcium","mg",1000
"1088","Chloride","g",2.3
"1096","Chromium","ug",35
"1098","Copper","mg",0.9
"1099","Fluoride","ug",4000
"1100","Iodine","ug",150
"1089","Iron","mg",8
"1090","Magnesium","mg",400
"1101","Manganese","mg",2.3
"1102","Molybdenum","ug",45
"1091","Phosphorus","mg",700
"1092","Potassium","mg",3400
"1103","Selenium","ug",55
"1093","Sodium","mg",1500
"1095","Zinc","mg",11
"","","",0
"1018","<strong>ALCOHOL</strong>","g",0
"1009","<strong>STARCH</strong>","g",0
"1201","<strong>CAFFEINE</strong>","mg",0